ID,VULN_ID,VULN_TYPE,AFFECTED_PRODUCT,KB_ID,VULN_DETAILS,KB_DETAILS
1,MS03-026,Remote Code Execution,Windows NT 4.0,KB823980,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2003/ms03-026,https://www.catalog.update.microsoft.com/Search.aspx?q=KB823980
2,MS03-026,Remote Code Execution,Windows NT 4.0 Terminal Server Edition,KB823980,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2003/ms03-026,https://www.catalog.update.microsoft.com/Search.aspx?q=KB823980
3,MS03-026,Remote Code Execution,Windows 2000,KB823980,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2003/ms03-026,https://www.catalog.update.microsoft.com/Search.aspx?q=KB823980
4,MS03-026,Remote Code Execution,Windows XP,KB823980,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2003/ms03-026,https://www.catalog.update.microsoft.com/Search.aspx?q=KB823980
5,MS03-026,Remote Code Execution,Windows Server 2003,KB823980,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2003/ms03-026,https://www.catalog.update.microsoft.com/Search.aspx?q=KB823980
6,MS05-039,Remote Code Execution,Windows 2000 Service Pack 4,KB899588,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2005/ms05-039,https://www.catalog.update.microsoft.com/Search.aspx?q=KB899588
7,MS05-039,Remote Code Execution,Windows XP Service Pack 1,KB899588,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2005/ms05-039,https://www.catalog.update.microsoft.com/Search.aspx?q=KB899588
8,MS05-039,Remote Code Execution,Windows XP Service Pack 2,KB899588,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2005/ms05-039,https://www.catalog.update.microsoft.com/Search.aspx?q=KB899588
9,MS05-039,Remote Code Execution,Windows XP Professional x64 Edition,KB899588,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2005/ms05-039,https://www.catalog.update.microsoft.com/Search.aspx?q=KB899588
10,MS05-039,Remote Code Execution,Windows Server 2003,KB899588,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2005/ms05-039,https://www.catalog.update.microsoft.com/Search.aspx?q=KB899588
11,MS05-039,Remote Code Execution,Windows Server 2003 Service Pack 1,KB899588,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2005/ms05-039,https://www.catalog.update.microsoft.com/Search.aspx?q=KB899588
12,MS05-039,Remote Code Execution,Windows Server 2003 Itanium-based,KB899588,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2005/ms05-039,https://www.catalog.update.microsoft.com/Search.aspx?q=KB899588
